SUBURB,POSTCODE,AVERAGE_PRICE,LONG,LAT
Dalkeith,6009,1961922.0,115.7999434,-31.9956976
Peppermint Grove,6011,1771982.0,115.7670972,-31.9989555
City Beach,6015,1644756.0,115.7599058,-31.9364674
Swanbourne,6010,1590743.0,115.7666449,-31.972904
Floreat,6014,1474613.0,115.7939626,-31.9392096
Naval Base,6165,1408000.0,115.7819194,-32.1954475
Applecross,6153,1396130.0,115.8366566,-32.0137091
Mosman Park,6012,1383912.0,115.7637593,-32.0178686
Wangara,6065,1375000.0,115.820817,-31.7900584
Churchlands,6018,1314983.0,115.791731,-31.9217089
Shenton Park,6008,1286031.0,115.813926,-31.9595215
Trigg,6029,1236182.0,115.755874,-31.875679
West Leederville,6007,1234683.0,115.840397436,-31.9362356
South Perth,6151,1215011.0,115.8639433,-31.9809661
North Fremantle,6159,1213310.0,115.7549789,-32.0327438
Attadale,6156,1208155.0,115.8023457,-32.025346
Salter Point,6152,1185206.0,115.8658082,-32.0236746
Menora,6050,1181980.0,115.8608616,-31.9205353
Rossmoyne,6148,1165273.0,115.8679219,-32.039618
Watermans Bay,6020,1156864.0,115.7554654,-31.8490984
North Coogee,6163,1136482.0,115.7593892,-32.0930018
East Fremantle,6158,1125907.0,115.76878040412583,-32.035363000000004
Banjup,6164,1119134.0,115.8878241,-32.1565753
South Fremantle,6162,1097441.0,115.7544513,-32.0717661
Wembley Downs,6019,1083217.0,115.7798863,-31.9192137
Bicton,6157,1081997.0,115.785885,-32.0265247
Munster,6166,1030000.0,115.8012822,-32.1439552
Anketell,6167,1005267.0,115.8667368,-32.2197553
Mount Hawthorn,6016,993524.0,115.8328474,-31.9216585
Burswood,6100,966152.0,115.8962701,-31.9602196
Winthrop,6150,935384.0,115.8296471,-32.0522147
Hillarys,6025,931422.0,115.7487831,-31.8097006
Burns Beach,6028,914279.0,115.7199225,-31.7282352
Booragoon,6154,893403.0,115.8336757,-32.0395384
Pickering Brook,6076,887857.0,116.1866875,-32.0433409
Baskerville,6056,886722.0,116.0469782,-31.7969218
Darling Downs,6122,861818.0,116.002141295,-32.2305423
Fremantle,6160,854387.0,115.747683969,-32.055444253
North Perth,6006,850071.0,115.8567044,-31.9308627
Oakford,6121,848733.0,115.932983,-32.2139266
Keysbrook,6126,839375.0,115.9785738,-32.4373754
Stirling,6021,829455.0,115.817198756,-31.866607337
Inglewood,6052,816596.0,115.8835111,-31.9188613
Bull Creek,6149,814844.0,115.8624527,-32.0562543
Ascot,6104,806406.0,115.9250631,-31.9386753
West Swan,6055,801812.0,115.9885884,-31.8456066
Ocean Reef,6027,796583.0,115.7380757,-31.7569941
Highgate,6003,795231.0,115.8695835,-31.9396526
Gidgegannup,6083,793423.0,116.1960296,-31.7932274
Carabooda,6033,793292.0,115.7129,-31.59517
Belhus,6069,788565.0,116.0079253,-31.7835894
Gnangara,6077,788212.0,115.8649195,-31.7752884
Bedfordale,6112,747200.0,115.98690677,-32.148084465
Maylands,6051,739669.0,115.8985445,-31.9345383
Mindarie,6030,723724.0,115.7091824,-31.6897332
Duncraig,6023,718932.0,115.7788108,-31.8314627
Mariginiup,6078,712126.0,115.8276065,-31.7215569
Willetton,6155,708270.0,115.8878267,-32.0524594
Darlington,6070,705283.0,116.0760614,-31.9168074
Neerabup,6031,702143.0,115.7804196,-31.6749628
Hopeland,6125,690139.0,116.0100956,-32.386465575
Orange Grove,6109,687878.0,116.0234228,-32.0340334
Dianella,6059,673858.0,115.8714367,-31.8941978
Karnup,6176,668197.0,115.796252,-32.4163785
West Perth,6005,665810.0,115.841571,-31.9486588
Mundaring,6073,650853.0,116.19406770281651,-31.883877
East Victoria Park,6101,650207.0,115.9028513,-31.9842427
Woodvale,6026,646642.0,115.7936906,-31.7864026
Glen Forrest,6071,643989.0,116.1027118,-31.9077456
Yokine,6060,636718.0,115.8525017,-31.90171
Parkerville,6081,629890.0,116.1420759,-31.8789061
Jindalee,6036,615225.0,115.6924119,-31.6510271
Bayswater,6053,607846.0,115.9156202,-31.917128
Roleystone,6111,603173.0,116.0688121,-32.1123763
Rivervale,6103,594565.0,115.9147434,-31.9628542
Maida Vale,6057,594234.0,116.0273087,-31.9630972
Martin,6110,591289.0,116.0595798,-32.0708796
Warwick,6024,584822.0,115.8015158,-31.8410922
Noranda,6062,581621.0,115.8952097,-31.8762931
Wilson,6107,569995.0,115.91165,-32.0196968
Hamersley,6022,562577.0,115.8051957,-31.8502941
St James,6102,553312.0,115.9110993,-32.0029372
Mount Helena,6082,551347.0,116.2093475,-31.8778804
Bassendean,6054,545163.0,115.94426864292642,-31.9059155
Jarrahdale,6124,542254.0,116.066177,-32.3393559
East Perth,6004,534500.0,115.8778894,-31.954341
Kewdale,6105,519197.0,115.9423461,-31.9760655
Osborne Park,6017,503216.0,115.817209509,-31.916594244
Bullsbrook,6084,501961.0,116.0272659,-31.6637374
Bennett Springs,6063,486220.0,115.9422606,-31.8580515
Secret Harbour,6173,483800.0,115.7529313,-32.4009024
Shoalwater,6169,482761.0,115.7111643,-32.294628
Sawyers Valley,6074,477205.0,116.2055141,-31.9039193
Parkwood,6147,472942.0,115.9149833,-32.0477841
Welshpool,6106,465000.0,115.9325126,-31.9921285
Two Rocks,6037,464452.0,115.5910594,-31.4952724
Singleton,6175,456574.0,115.7545664,-32.4478482
Mahogany Creek,6072,453798.0,116.1354,-31.90628
Alexander Heights,6064,449097.0,115.865815,-31.8271578
Wellard,6170,447592.0,115.8481091,-32.2660784
Rockingham,6168,430706.0,115.7426524,-32.2851899
Ballajura,6066,424642.0,115.8927134,-31.8380114
Baldivis,6171,421543.0,115.8218124,-32.3299121
Forrestfield,6058,417261.0,116.0075629,-31.9858122
Alkimos,6038,414229.0,115.6867494,-31.6151863
Golden Bay,6174,408950.0,115.7557307,-32.4292934
Thornlie,6108,407146.0,115.9550732,-32.0600605
Mirrabooka,6061,402063.0,115.8642381,-31.8629562
Eglinton,6034,395904.0,115.66763153318026,-31.5841875
Mundijong,6123,391424.0,115.9851981,-32.2958316
Yanchep,6035,390656.0,115.6256848,-31.549942
Port Kennedy,6172,364403.0,115.7527396,-32.3704685
